1,Wine - Lou Black Shiraz,"Bypass Thor Aorta Desc to Subclav w Nonaut Sub, Open",48.74
2,"Olives - Black, Pitted",Removal of Other Device on Face,76.8
3,Tomato - Green,"Reposition Left Radius with Monopln Ext Fix, Perc Approach",38.65
4,Bread Sour Rolls,"Reposition Right Toe Phalangeal Joint, Perc Endo Approach",33.69
5,Laundry - Bag Cloth,"Supplement L Ethmoid Bone with Synth Sub, Perc Endo Approach",49.12
6,Wine - Chianti Classico Riserva,"Repair Hard Palate, Open Approach",28.17
7,Lid - 0090 Clear,"Destruction of Paraganglion Extremity, Percutaneous Approach",60.45
8,Clam - Cherrystone,"Restriction of Small Intestine, Perc Endo Approach",79.13
9,Steam Pan - Half Size Deep,"Excision of Radial Nerve, Perc Endo Approach, Diagn",3.65
10,Snapple Lemon Tea,"Revision of Int Fix in L Fibula, Extern Approach",45.16
11,Chocolate Bar - Coffee Crisp,"Supplement Left Patella with Autol Sub, Perc Endo Approach",55.93
12,Bread - Raisin,"Revision of Ext Fix in L Metatarsotars Jt, Perc Approach",47.07
13,Appetizer - Tarragon Chicken,"Bypass Bladder to Ileocutan w Nonaut Sub, Perc Endo",35.09
14,Pepsi - 600ml,"Replace of R Hip Jt, Acetab with Nonaut Sub, Open Approach",31.47
15,Mix - Cappucino Cocktail,"Drainage of Left Thumb Phalanx, Open Approach, Diagnostic",98.2
16,Mix Pina Colada,"Insert Intralum Dev in L Int Jugular Vein, Open",79.7
17,Lotus Rootlets - Canned,"Supplement L Shoulder Muscle with Synth Sub, Open Approach",13.14
18,Vaccum Bag - 14x20,"Drainage of Left Internal Mammary Lymphatic, Open Approach",56.17
19,Carbonated Water - Blackcherry,"Excision of Facial Muscle, Open Approach",7.36
20,Fiddlehead - Frozen,"Fragmentation in Left Large Intestine, Perc Endo Approach",54.34
